$tag,learning_rate,w_decay,dropout_pct,pct_warmup,w_surrogate_tasks,max_grad_norm,experiment,PC_Boarding,PC_Alighting,ST_Delay,ST_Dwell
SA00,0.0003,0.01,0.1,0.075,1.0,1.0,smtM24-11061137,0.549702,0.714772,0.18589,0.345602
SA01,0.000428554,0.00744368,0.013,0.149,1.25,0.5,smtM24-11061150,0.533052,0.702609,0.165897,0.342492
SA02,0.000443892,0.0130539,0.147,0.049,0.5,2.0,smtM24-11061158,0.548999,0.709897,0.1575,0.341565
SA03,0.000546609,0.00441852,0.119,0.056,0.25,2.0,smtM24-11061205,0.54326,0.70475,0.143768,0.348244
SA04,0.000153712,0.012676,0.11,0.029,1.25,0.5,smtM24-11061213,0.539453,0.707428,0.135282,0.349855
SA05,0.000467981,0.0082121,0.077,0.045,0.25,2.0,smtM24-11061220,0.54768,0.704917,0.158213,0.312141
SA06,0.00050314,0.00573941,0.204,0.109,1.0,5.0,smtM24-11061227,0.538893,0.700991,0.165189,0.350704
SA07,0.000584784,0.00110582,0.218,0.102,1.0,0.5,smtM24-11061235,0.549795,0.714834,0.18452,0.351254
SA08,0.000360758,0.00620366,0.227,0.123,0.75,1.0,smtM24-11061245,0.538072,0.687796,0.131507,0.354767
SA09,0.000205942,0.000572967,0.229,0.02,0.75,1.0,smtM24-11061252,0.544918,0.708414,0.103966,0.349436
SA10,0.000162401,0.00142117,0.053,0.131,1.0,1.0,smtM24-11061301,0.545381,0.710775,0.145604,0.340157
SA11,0.000599544,0.00607005,0.116,0.122,1.25,5.0,smtM24-11061308,0.536865,0.700836,0.182589,0.35055
SA12,0.000581326,0.000811431,0.113,0.042,1.0,5.0,smtM24-11061315,0.542026,0.697702,0.134789,0.339898
SA13,0.000198897,0.016273,0.193,0.023,0.5,5.0,smtM24-11061321,0.542844,0.711612,0.163604,0.350738
SA14,0.000364183,0.000720663,0.066,0.07,1.25,5.0,smtM24-11061331,0.541546,0.69717,0.134662,0.347284
SA15,0.000397883,0.0198953,0.007,0.089,0.75,2.0,smtM24-11061338,0.544736,0.699551,0.154822,0.318069
SA16,0.000304207,0.00451523,0.177,0.137,1.0,1.0,smtM24-11061345,0.547446,0.714951,0.184442,0.341327
SA17,0.000193116,0.000586372,0.016,0.067,0.75,2.0,smtM24-11061354,0.544035,0.695429,0.120958,0.338377
SA18,0.000319002,0.0114992,0.128,0.15,0.75,2.0,smtM24-11061401,0.539617,0.708138,0.134265,0.339255
SA19,0.000340488,0.00218574,0.172,0.115,0.5,0.5,smtM24-11061410,0.549628,0.710615,0.183999,0.331714
SA20,0.000434355,0.001182,0.212,0.031,0.25,2.0,smtM24-11061419,0.554726,0.716803,0.168686,0.347975
SA21,0.000155897,0.00264978,0.246,0.14,0.5,2.0,smtM24-11061429,0.539198,0.711018,0.148478,0.339742
